,AGWP_co2
884,7.186840309274672e-16
885,7.184895209751447e-16
886,7.182953507213456e-16
887,7.181015192863214e-16
888,7.179080257927159e-16
889,7.177148693655579e-16
890,7.175220491322564e-16
891,7.173295642225916e-16
892,7.17137413768711e-16
893,7.169455969051208e-16
894,7.167541127686815e-16
895,7.165629604985992e-16
896,7.163721392364208e-16
897,7.161816481260274e-16
898,7.159914863136273e-16
899,7.158016529477504e-16
900,7.15612147179241e-16
901,7.154229681612523e-16
902,7.152341150492393e-16
903,7.150455870009535e-16
904,7.148573831764358e-16
905,7.146695027380105e-16
906,7.144819448502791e-16
907,7.142947086801138e-16
908,7.141077933966519e-16
909,7.139211981712894e-16
910,7.137349221776743e-16
911,7.135489645917005e-16
912,7.133633245915026e-16
913,7.131780013574494e-16
914,7.129929940721367e-16
915,7.128083019203829e-16
916,7.126239240892213e-16
917,7.124398597678957e-16
918,7.122561081478529e-16
919,7.120726684227376e-16
920,7.118895397883858e-16
921,7.117067214428196e-16
922,7.115242125862402e-16
923,7.113420124210227e-16
924,7.111601201517102e-16
925,7.109785349850067e-16
926,7.107972561297736e-16
927,7.10616282797021e-16
928,7.104356141999036e-16
929,7.102552495537146e-16
930,7.100751880758793e-16
931,7.098954289859499e-16
932,7.09715971505599e-16
933,7.095368148586146e-16
934,7.093579582708939e-16
935,7.091794009704376e-16
936,7.090011421873437e-16
937,7.088231811538028e-16
938,7.086455171040912e-16
939,7.084681492745662e-16
940,7.082910769036598e-16
941,7.081142992318734e-16
942,7.079378155017718e-16
943,7.077616249579778e-16
944,7.075857268471661e-16
945,7.074101204180594e-16
946,7.072348049214197e-16
947,7.070597796100459e-16
948,7.068850437387665e-16
949,7.067105965644343e-16
950,7.065364373459209e-16
951,7.063625653441117e-16
952,7.061889798218996e-16
953,7.060156800441801e-16
954,7.058426652778456e-16
955,7.0566993479178e-16
956,7.05497487856853e-16
957,7.053253237459154e-16
958,7.051534417337926e-16
959,7.049818410972802e-16
960,7.048105211151384e-16
961,7.046394810680858e-16
962,7.044687202387953e-16
963,7.04298237911888e-16
964,7.041280333739279e-16
965,7.039581059134169e-16
966,7.037884548207893e-16
967,7.036190793884063e-16
968,7.034499789105518e-16
969,7.032811526834253e-16
970,7.031126000051386e-16
971,7.029443201757089e-16
972,7.027763124970551e-16
973,7.026085762729919e-16
974,7.024411108092237e-16
975,7.022739154133414e-16
976,7.021069893948155e-16
977,7.019403320649921e-16
978,7.017739427370874e-16
979,7.016078207261819e-16
980,7.0144196534921665e-16
981,7.01276375924987e-16
982,7.011110517741384e-16
983,7.009459922191604e-16
984,7.007811965843827e-16
985,7.006166641959692e-16
986,7.004523943819137e-16
987,7.0028838647203425e-16
988,7.001246397979687e-16
989,6.999611536931691e-16
990,6.997979274928979e-16
991,6.996349605342218e-16
992,6.994722521560072e-16
993,6.9930980169891565e-16
994,6.991476085053985e-16
995,6.989856719196921e-16
996,6.98823991287813e-16
997,6.986625659575537e-16
998,6.985013952784763e-16
999,6.983404786019092e-16
1000,6.981798152809411e-16
